blue,green,red,ndwi,brightness,label,source_file
0.30879408,0.2231992,0.21681416,0.014510988,0.24960248,0,GSL_1987_05.tif
0.33580294,0.2360882,0.2197085,0.035936333,0.26386654,0,GSL_1987_05.tif
0.54129297,0.43118575,0.37731823,0.06662608,0.44993234,0,GSL_1987_05.tif
0.4028146,0.34272537,0.29364562,0.0771243,0.34639522,0,GSL_1987_05.tif
0.36401838,0.31210023,0.2769374,0.059695292,0.31768534,0,GSL_1987_05.tif
0.33209038,0.2639593,0.23470642,0.058662172,0.27691868,0,GSL_1987_05.tif
0.38313803,0.28588158,0.26272884,0.042202435,0.31058285,0,GSL_1987_05.tif
0.5352601,0.43900728,0.3971839,0.050016478,0.45715043,0,GSL_1987_05.tif
0.48254177,0.41102603,0.368109,0.055082865,0.42055893,0,GSL_1987_05.tif
0.3988236,0.33721724,0.29285625,0.07040595,0.3429657,0,GSL_1987_05.tif
0.41385946,0.31199008,0.2773321,0.058809806,0.3343939,0,GSL_1987_05.tif
0.38499433,0.30460918,0.29259312,0.020120548,0.32739887,0,GSL_1987_05.tif
0.15149948,0.15687396,0.063643925,0.42277575,0.12400579,1,GSL_1991_05.tif
0.17819789,0.19008705,0.07938993,0.41078353,0.14922495,1,GSL_1991_05.tif
0.17126173,0.1763895,0.08198664,0.36536843,0.14321263,1,GSL_1991_05.tif
0.16916925,0.18032926,0.076682724,0.40327355,0.14206041,1,GSL_1991_05.tif
0.17808163,0.17913817,0.075467244,0.4071811,0.14422901,1,GSL_1991_05.tif
0.16792926,0.17666437,0.06441741,0.46559513,0.13633701,1,GSL_1991_05.tif
0.1576219,0.1710754,0.070273824,0.41765687,0.13299038,1,GSL_1991_05.tif
0.15866815,0.17547329,0.077345714,0.38813215,0.13716239,1,GSL_1991_05.tif
0.17149422,0.18610147,0.082428634,0.38607383,0.14667477,1,GSL_1991_05.tif
0.17482668,0.19782913,0.08342312,0.40677217,0.15202631,1,GSL_1991_05.tif
0.16963425,0.18830042,0.074141264,0.43498695,0.14402531,1,GSL_1991_05.tif
0.17199796,0.18816298,0.08347837,0.38537663,0.14787976,1,GSL_1991_05.tif
0.16901426,0.19260666,0.08276013,0.3989084,0.14812702,1,GSL_1991_05.tif
0.17412919,0.1997532,0.08773255,0.38965496,0.15387164,1,GSL_1991_05.tif
